Qubit ID,Computer,Number of Algorithms Run,Total Gates Run,Mean KVD,Min KVD,Max KVD,Std of KVD,Spread of KVD,Median KVD,25th Percentile KVD,75th Percentile KVD,IQR of KVD
76,cusco,43,3459,8.016604482768052,6.49939467409098e-05,19.223416005339683,8.094210440871887,19.223351011392943,9.211644733858268,0.20538827061674486,16.99315876015335,16.787770489536605
97,cusco,51,6065,9.649062835852433,0.00044407225999858364,19.536470211322175,7.977044895234479,19.536026139062177,13.058200154430118,0.23656779539729023,17.29196857605806,17.05540078066077
116,cusco,19,1056,9.954817727167114,0.00010954061342220191,19.536470211322175,8.689907457341254,19.536360670708753,13.042058448158874,0.4979142635578063,18.215894744171077,17.71798048061327
117,cusco,28,1981,9.57210812115388,0.00010954061342220191,19.536470211322175,8.054932303207236,19.536360670708753,10.349762670418556,0.3039387958748711,17.415561304259324,17.111622508384453
90,cusco,27,1532,7.999381106994924,6.49939467409098e-05,19.50765294573896,8.554501265200798,19.50758795179222,1.0279627549701327,0.19492015000645302,17.29773169087889,17.102811540872437
86,cusco,69,6841,10.486753515464954,3.528850746877324e-05,19.626779433658527,8.018569869362771,19.626744145151058,13.163441755277999,0.24867129382557313,17.409965763199356,17.161294469373782
87,cusco,61,7576,9.47633204257649,3.528850746877324e-05,19.626779433658527,8.217473439144065,19.626744145151058,13.093617307435022,0.2387845254130093,17.17358421665454,16.93479969124153
93,cusco,55,6184,9.516501456227994,3.528850746877324e-05,19.626779433658527,8.214569728401,19.626744145151058,13.093617307435022,0.2386381467163921,17.29177498992695,17.053136843210556
106,cusco,55,6666,9.517373242578405,3.528850746877324e-05,19.626779433658527,8.213571367324196,19.626744145151058,13.093617307435022,0.2386381467163921,17.29177498992695,17.053136843210556
107,cusco,37,4196,10.295354070584201,0.00044407225999858364,19.626779433658527,8.649319228857616,19.626335361398528,14.506072975718084,0.24151846956151715,18.852220552177478,18.610702082615962
108,cusco,38,3164,10.46013193228459,0.00044407225999858364,19.626779433658527,8.591890243001641,19.626335361398528,14.51121497851588,0.24180733328976753,18.80353537458107,18.561728041291303
48,cusco,72,7780,10.57750378766962,0.00010954061342220191,19.536470211322175,7.9223157926440315,19.536360670708753,14.48240990463168,0.2423850607462683,17.4134159744503,17.17103091370403
49,cusco,81,11763,9.886958902200279,0.00010954061342220191,19.536470211322175,8.097289933639917,19.536360670708753,13.183504329487501,0.2426739244745187,17.409965763199356,17.167291838724836
